FEAT_0,FEAT_1,FEAT_2,FEAT_3,FEAT_4,FEAT_5,FEAT_6,FEAT_7,FEAT_8,FEAT_9,FEAT_10,FEAT_11,FEAT_12,FEAT_13,FEAT_14,FEAT_15,FEAT_16,FEAT_17,CATEGORY
0.08,JOB_B,1,2,-0.08,1000,4,0.28,0.02,5,7,0.4,0.7,-0.7,3,CITY_A,0.93,0.51,2
0.05,JOB_A,1,1,-0.05,5,8,0.56,0,9,9,0.9,0.9,-0.9,5,CITY_A,0.54,0.21,1
0.01,JOB_D,0,2,-0.01,5,10,0.78,0.25,6,4,1,0.2,-0.2,9,CITY_A,0.32,0.03,0
0.07,JOB_A,1,3,-0.07,9,4,0.07,0.83,0,7,0.8,0.8,-0.8,5,CITY_A,0.39,0.48,0
0.26,JOB_A,0,4,-0.26,10,4,0.18,0.99,0,6,0.3,0.3,-0.3,8,CITY_A,0.01,0.81,2
0.01,JOB_A,1,5,-0.01,0,8,0.31,0.94,7,8,0.9,0.2,-0.2,2,CITY_A,0.73,0.02,1
0.01,JOB_A,0,4,-0.01,2,8,0,0.25,5,7,0.5,0.7,-0.7,7,CITY_A,0.05,0.19,0
0.69,JOB_C,1,3,-0.69,10,10,0.01,0.4,,0,0.4,1,-1,1,CITY_A,0.01,0.03,3
0.41,JOB_C,2,2,-0.41,2,6,0.42,0.14,0,0,0.4,0.4,-0.4,6,CITY_A,0.18,0.69,2
0.3,JOB_B,2,3,-0.3,9,1,0,0.33,1,9,0.6,0.9,-0.9,5,CITY_A,0.26,0.42,1
0.3,JOB_A,2,4,-0.3,1,1,0.84,0.46,,3,0.3,0.8,-0.8,3,CITY_A,0.19,0.07,2
0.31,JOB_B,1,3,-0.31,7,8,0.13,0.42,10,9,0.9,0.9,-0.9,6,CITY_A,0.79,0.38,1
0.27,JOB_C,1,2,-0.27,1,1,0.02,0.15,0,10,0.3,0.3,-0.3,2,CITY_A,0.84,0.54,2
0.76,JOB_C,1,5,-0.76,8,5,0.06,0.44,,9,0.8,0.5,-0.5,8,CITY_A,0.71,0.97,2
0.57,JOB_A,1,2,-0.57,1,6,0.35,0,9,6,0.8,0.5,-0.5,1,CITY_A,0.59,0.22,0
0.15,JOB_A,2,2,-0.15,9,9,0.27,0.18,9,9,0.3,0.2,-0.2,1,CITY_A,0,0.08,3
0.38,JOB_B,1,3,-0.38,5,7,0.56,0.62,,6,0.5,0.1,-0.1,6,CITY_A,0.28,0.14,1
0.07,JOB_B,2,4,-0.07,9,5,0.15,0.96,3,0,0.1,0.1,-0.1,6,CITY_A,0.57,0.23,2
0.46,JOB_A,1,4,-0.46,2,10,0.92,0.11,4,5,0.4,0.6,-0.6,5,CITY_A,0.09,0.52,2
0.34,JOB_A,0,2,-0.34,0,6,0,0.32,7,7,0.6,0.1,-0.1,8,CITY_A,0.84,0.98,0
0.72,JOB_C,0,2,-0.72,2,9,0.04,0.21,6,10,1,0.8,-0.8,3,CITY_A,0.16,0.18,1
0.75,JOB_A,2,4,-0.75,7,9,0.33,0.33,0,9,0.6,1,-1,5,CITY_A,0.97,0.11,3
0.77,JOB_B,2,3,-0.77,4,1,0.02,0.54,10,1,0,0.5,-0.5,2,CITY_A,0.7,0.02,3
0.97,JOB_A,0,3,-0.97,3,9,0.05,0.18,7,7,0.1,0.7,-0.7,5,CITY_A,0.02,0.09,2
0,JOB_A,1,1,0,4,2,0.49,0.17,4,10,0.6,0.9,-0.9,8,CITY_A,0.72,0,0
0.45,JOB_D,0,3,-0.45,10,10,0.64,0,6,4,0.3,0.4,-0.4,8,CITY_A,0.58,0.68,1
0.82,JOB_A,1,1,-0.82,5,1,0.03,0.29,6,3,0.4,0.8,-0.8,10,CITY_A,0.51,0.36,2
0.27,JOB_A,0,2,-0.27,9,7,0.64,0.15,6,7,0.4,1,-1,0,CITY_A,0.01,0.94,1
0.09,JOB_C,1,4,-0.09,3,5,0,0.54,4,6,0.7,0.6,-0.6,4,CITY_A,0.32,0.26,0
0,JOB_A,0,3,0,1,0,0.82,0.68,10,8,0.2,0.1,-0.1,3,CITY_A,0.01,0.01,0
0.48,JOB_D,1,2,-0.48,5,1,0.22,0.39,6,1,0.8,1,-1,10,CITY_A,0.13,0,0
0.01,JOB_D,1,4,-0.01,5,9,0.67,0,2,9,0.6,0.2,-0.2,1,CITY_A,0.36,0.21,1
0.65,JOB_B,2,2,-0.65,1,9,0.03,0.07,10,4,0.2,0.4,-0.4,8,CITY_A,0.43,0.01,3
0.05,JOB_B,0,3,-0.05,10,9,0.96,0.29,7,7,0.5,0.5,-0.5,6,CITY_A,0.6,0.37,0
0.38,JOB_D,0,2,-0.38,2,3,0,0.07,4,5,0.3,0.7,-0.7,10,CITY_A,0.84,0.13,1
0.24,JOB_C,1,4,-0.24,9,6,0.48,0.22,8,6,0.7,0.7,-0.7,10,CITY_A,0.99,0.75,0
0.37,JOB_A,1,4,-0.37,1,9,0.03,0.63,3,3,0.8,1,-1,10,CITY_A,0.46,0.14,1
0.62,JOB_C,1,3,-0.62,1,7,0.95,0.63,0,6,0.6,0.6,-0.6,8,CITY_A,0.73,0.35,2
0,JOB_C,0,4,0,3,0,0.08,0.71,8,4,0.1,0.6,-0.6,6,CITY_A,0.03,0.2,0
0.12,JOB_A,1,1,-0.12,10,10,0.17,0.51,3,7,0.9,0.3,-0.3,9,CITY_A,0.51,0,1
0.05,JOB_D,0,3,-0.05,9,0,0.05,0.44,2,8,0,0.3,-0.3,8,CITY_A,0.05,0.69,0
0.82,JOB_A,1,5,-0.82,9,9,0.69,0.35,9,10,0.9,0.7,-0.7,10,CITY_A,0.36,0.76,2
0.16,JOB_C,1,2,-0.16,8,7,0,0.68,1,5,0.1,0.9,-0.9,3,CITY_A,0.86,0.29,2
0.28,JOB_C,0,4,-0.28,5,7,0.08,0.44,6,5,0.9,0.4,-0.4,3,CITY_A,0.42,0.63,0
0.02,JOB_A,2,3,-0.02,0,2,0.77,0,,9,0.8,0.5,-0.5,7,CITY_A,0.72,0.3,1
0.03,JOB_B,2,3,-0.03,7,0,0.37,0.49,4,2,0.6,0.8,-0.8,6,CITY_A,0.1,0.05,0
0.7,JOB_A,1,4,-0.7,10,10,0.24,0.27,5,10,0.5,0.3,-0.3,3,CITY_A,0.06,0.82,2
0.52,JOB_B,0,4,-0.52,6,7,0.1,0.35,2,5,0,0.1,-0.1,6,CITY_A,0.1,0.07,2
0.27,JOB_A,1,3,-0.27,3,9,0.4,0,7,0,0.3,0.1,-0.1,5,CITY_A,0.38,0.86,2
0.24,JOB_B,2,2,-0.24,5,6,0.19,0.63,10,8,0.5,0.3,-0.3,9,CITY_A,0.68,0.47,2
0.3,JOB_A,1,1,-0.3,10,9,0.04,0.25,7,3,0.4,0.3,-0.3,4,CITY_A,0.13,0.04,2
0.55,JOB_C,0,5,-0.55,9,9,0.4,1,4,6,0.3,0.2,-0.2,5,CITY_A,0.85,0.54,3
0.11,JOB_A,0,3,-0.11,1,4,0.43,0.47,2,6,0.7,0.3,-0.3,7,CITY_A,0.44,0.39,0
0.84,JOB_C,2,1,-0.84,1,4,0.02,0.27,9,10,1,0.6,-0.6,4,CITY_A,0.57,0,2
0.84,JOB_A,1,3,-0.84,8,9,0.12,0.99,6,5,0.9,0.1,-0.1,4,CITY_A,0.01,0.28,3
0.24,JOB_B,0,3,-0.24,2,1,0.41,0.04,0,4,0.7,0.5,-0.5,9,CITY_A,0.78,0.5,0
0.1,JOB_B,2,4,-0.1,9,5,0,0.78,5,5,0.5,0.9,-0.9,4,CITY_A,0.16,0.01,1
0.8,JOB_D,2,5,-0.8,10,0,0.07,0.63,10,3,0.9,0.5,-0.5,4,CITY_A,0.94,0.07,2
0.15,JOB_B,1,2,-0.15,7,1,0.12,0.01,7,9,1,0.1,-0.1,8,CITY_A,0.82,0.53,0
0,JOB_A,0,1,0,8,10,0.3,0.16,10,4,0.6,0.9,-0.9,9,CITY_A,0.34,0.27,0
0.14,JOB_A,2,3,-0.14,10,2,0.26,0.44,,9,0.3,0.8,-0.8,7,CITY_A,0.04,0.08,2
0.73,JOB_A,1,1,-0.73,10,7,0.96,0.08,2,7,0.2,0.9,-0.9,1,CITY_A,0,0.8,2
0.74,JOB_A,1,2,-0.74,8,6,0.05,0.7,4,9,0.9,0.5,-0.5,0,CITY_A,0.01,0.06,2
0.02,JOB_C,2,4,-0.02,4,5,0,0.63,7,9,0.7,0.3,-0.3,1,CITY_A,0.7,0.29,1
0.36,JOB_A,1,2,-0.36,5,7,0,0.04,8,1,0.4,1,-1,4,CITY_A,0.17,0.83,2
0.23,JOB_A,2,4,-0.23,7,2,0.04,0.6,3,2,0.2,0,0,8,CITY_A,0.3,0,3
0.78,JOB_A,1,3,-0.78,2,4,0.62,0.4,1,3,0.5,0.7,-0.7,8,CITY_A,0,0.41,1
0.58,JOB_C,2,4,-0.58,2,10,0.79,0.29,4,4,1,0.8,-0.8,6,CITY_A,0,0.98,2
0.5,JOB_D,1,1,-0.5,0,5,0.98,0.44,3,5,0.1,0.6,-0.6,3,CITY_A,0.7,0.02,2
0.06,JOB_B,2,3,-0.06,5,5,0.98,0.02,0,4,0.8,0.3,-0.3,3,CITY_A,0.51,0.18,1
0.97,JOB_A,2,1,-0.97,4,9,0.01,0.09,,4,0.3,0.1,-0.1,3,CITY_A,0.28,0.01,3
0.05,JOB_B,2,4,-0.05,10,5,0.53,0.34,7,7,0.3,0.4,-0.4,8,CITY_A,0.35,0.38,3
0.16,JOB_C,0,4,-0.16,0,4,0.2,0.61,8,6,0,0.4,-0.4,0,CITY_A,0.03,0.55,1
0.02,JOB_B,0,2,-0.02,5,10,0.78,0.02,10,0,0.8,0,0,3,CITY_A,0.34,0.3,0
0.5,JOB_A,0,5,-0.5,3,2,0.68,0,9,1,0.1,0.2,-0.2,8,CITY_A,0.67,0.25,0
0,JOB_A,0,4,0,2,5,0.82,0.38,,3,0.4,0.7,-0.7,5,CITY_A,0.83,0.83,1
0.46,JOB_A,0,5,-0.46,4,2,0.21,0,1,5,0.3,0.2,-0.2,3,CITY_A,0.62,0.56,1
0.53,JOB_B,1,1,-0.53,4,5,0.86,0.59,10,7,1,0.2,-0.2,5,CITY_A,0,0.43,1
0.27,JOB_A,2,5,-0.27,6,9,0.28,0.14,10,2,0.1,0.1,-0.1,10,CITY_A,0.01,0.88,3
0,JOB_B,1,3,0,9,8,0.01,0.82,10,4,0.3,0.1,-0.1,3,CITY_A,0.16,0.79,2
0.07,JOB_B,1,4,-0.07,5,8,0.12,0.82,0,3,0.2,0.2,-0.2,1,CITY_A,0.39,0.37,2
0.15,JOB_A,2,1,-0.15,0,4,0.2,0.18,6,1,0.5,0.5,-0.5,0,CITY_A,0.99,0.87,1
0.59,JOB_C,1,2,-0.59,7,4,0.14,0.4,1,0,0.1,0.8,-0.8,5,CITY_A,0.17,0.7,2
0.4,JOB_A,1,3,-0.4,5,1,0.04,0.37,10,4,0.4,0,0,2,CITY_A,0.9,0.37,2
0.7,JOB_A,2,2,-0.7,6,8,0.27,0.19,1,4,0.1,0.2,-0.2,1,CITY_A,0.66,0.01,3
0.07,JOB_C,1,3,-0.07,6,9,0,0.77,9,9,0.1,0.7,-0.7,1,CITY_A,0.68,0.3,2
0.33,JOB_A,2,3,-0.33,0,7,0.12,0.45,,6,0,0.2,-0.2,8,CITY_A,0.32,0.65,3
0.18,JOB_A,2,3,-0.18,9,7,0.04,0.36,8,0,0.4,0,0,8,CITY_A,0,0.79,2
0.2,JOB_D,1,3,-0.2,6,5,0.03,0.55,9,3,0.5,0.2,-0.2,0,CITY_A,0.09,0,0
0,JOB_C,0,5,0,9,4,0.02,0.04,3,10,0.3,0.5,-0.5,3,CITY_A,0.34,0.78,1
0.24,JOB_C,1,3,-0.24,1,4,0.71,0.78,10,2,0.7,0.4,-0.4,6,CITY_A,0.74,0.02,0
0,JOB_D,1,3,0,6,9,0.75,0.83,0,7,0.3,0.5,-0.5,7,CITY_A,0.52,0.23,2
0.02,JOB_A,1,2,-0.02,2,5,0.51,0.1,1,5,0.2,0,0,7,CITY_A,0.18,0.9,2
0,JOB_A,1,5,0,0,6,0.37,0.4,0,1,0.2,1,-1,7,CITY_A,0.56,0.02,2
0.02,JOB_B,1,4,-0.02,0,10,0.87,0.04,3,2,0.5,0.2,-0.2,8,CITY_A,0.12,0.01,0
0.19,JOB_A,1,4,-0.19,1,6,0.01,0.15,10,2,0.4,0.9,-0.9,3,CITY_A,0.01,0.23,2
0.35,JOB_A,1,4,-0.35,3,9,0.55,0.78,10,0,0,0,0,7,CITY_A,0.15,0.05,3
0.28,JOB_C,1,2,-0.28,7,0,0.6,0.02,2,3,0.3,0.1,-0.1,0,CITY_A,0.65,0.86,1
0.47,JOB_A,0,3,-0.47,8,5,0.04,0,3,0,0,0.8,-0.8,3,CITY_A,0.67,0.02,1
0.17,JOB_A,2,2,-0.17,0,8,0.24,0.01,10,10,1,0.6,-0.6,6,CITY_A,0.17,0.59,1
0.19,JOB_A,1,1,-0.19,7,9,0.1,0.36,8,3,0,0.4,-0.4,2,CITY_A,0.23,0,2
0.05,JOB_A,0,2,-0.05,3,1,0.41,0.73,2,4,0.5,0.6,-0.6,2,CITY_A,0.12,0.19,0
0.06,JOB_C,1,4,-0.06,8,9,0,0.77,,9,0.3,0.3,-0.3,1,CITY_A,0.56,0,2
0.83,JOB_A,1,1,-0.83,7,4,0.9,0.29,1,0,0,0,0,2,CITY_A,0.42,0.93,2
0.21,JOB_A,2,2,-0.21,2,0,0.72,0.2,1,2,0.1,0.4,-0.4,3,CITY_A,0.01,0,2
0.85,JOB_D,1,1,-0.85,3,9,0.16,0.27,1,10,0.9,0.9,-0.9,3,CITY_A,0.02,0.95,2
0.43,JOB_A,2,3,-0.43,7,9,0.44,0.68,7,2,0.1,0.2,-0.2,2,CITY_A,0.23,0.02,3
0,JOB_B,1,1,0,3,7,0.7,0.3,7,7,0.8,0.8,-0.8,4,CITY_A,0,0.02,0
0.25,JOB_C,2,2,-0.25,4,4,0.83,0.01,2,1,0.6,1,-1,3,CITY_A,0.85,0.14,0
0.59,JOB_B,1,5,-0.59,1000,2,0.28,0.56,6,8,0.2,0.4,-0.4,2,CITY_A,0.4,0.06,3
0.81,JOB_A,1,2,-0.81,2,9,0.62,0.08,1,8,1,0.3,-0.3,0,CITY_A,0,0.19,1
0.72,JOB_B,1,5,-0.72,10,9,0.02,0,7,5,0.3,0.3,-0.3,5,CITY_A,0.36,0.02,2
0.34,JOB_B,0,1,-0.34,6,8,0.12,0,1,9,0.2,0.2,-0.2,0,CITY_A,0,0.54,1
0.04,JOB_A,1,4,-0.04,4,7,0.15,0.83,8,9,0,0.3,-0.3,2,CITY_A,0.22,0.29,2
0.62,JOB_A,1,2,-0.62,2,5,0.03,0.97,6,5,0.4,0.1,-0.1,8,CITY_A,0,0.24,3
0.84,JOB_A,0,2,-0.84,4,9,0.17,0.58,9,0,0.4,0.7,-0.7,2,CITY_A,0.21,0.54,3
0.73,JOB_A,2,4,-0.73,1,6,0.48,0.04,0,10,0,0.6,-0.6,7,CITY_A,0.1,0.1,3
0.11,JOB_C,1,1,-0.11,7,5,0.03,0.27,10,6,0.6,0.2,-0.2,0,CITY_A,0.43,0.67,0
0.07,JOB_A,1,2,-0.07,0,3,0.95,0.09,9,6,0.5,0,0,0,CITY_A,0.52,0.2,0
0.02,JOB_B,0,4,-0.02,8,0,0.4,0.33,5,4,0.9,0.3,-0.3,3,CITY_A,0.49,0.73,0
0.67,JOB_B,1,4,-0.67,4,3,0.43,0.2,6,6,0.6,0.8,-0.8,10,CITY_A,0.08,0.13,0
0.16,JOB_D,1,4,-0.16,6,6,0.29,0.1,9,4,0,0.9,-0.9,9,CITY_A,0.01,0.32,2
0.2,JOB_B,1,2,-0.2,6,3,0.1,0.3,,9,0.9,0.9,-0.9,2,CITY_A,0.77,0.13,1
0.25,JOB_D,1,1,-0.25,0,6,0.11,0.53,7,10,0.8,1,-1,4,CITY_A,0.89,0.38,1
0.09,JOB_C,0,4,-0.09,4,9,0.03,0,0,7,0.5,0.1,-0.1,3,CITY_A,0.22,0.46,0
0.97,JOB_A,1,4,-0.97,5,1,0.02,0.43,3,10,0.1,0.5,-0.5,10,CITY_A,0.01,0,3
0.91,JOB_A,1,4,-0.91,9,8,0.02,0.33,0,4,1,0.2,-0.2,7,CITY_A,0.89,0.33,2
0.07,JOB_C,1,1,-0.07,3,10,0.02,0.53,6,0,0.5,0.1,-0.1,1,CITY_A,0.56,0.28,0
0.93,JOB_B,0,4,-0.93,4,4,0.13,0.69,6,7,0.6,0.9,-0.9,10,CITY_A,0.53,0.79,2
0.43,JOB_A,1,4,-0.43,0,7,0.07,0.34,10,0,0.8,0.2,-0.2,1,CITY_A,0.64,0.87,1
0.2,JOB_D,0,2,-0.2,4,3,0.03,0.07,1,1,0,0.9,-0.9,7,CITY_A,0.86,0.08,0
0,JOB_A,1,2,0,8,6,0.22,0.03,10,10,0.4,0.4,-0.4,0,CITY_A,0.02,0.08,2
0.17,JOB_A,2,3,-0.17,9,10,0.28,0,4,3,0,0.6,-0.6,4,CITY_A,0.68,0.87,3
0.23,JOB_B,1,2,-0.23,9,9,0.05,0.44,10,6,0.9,0.4,-0.4,4,CITY_A,0,0.01,1
0.89,JOB_C,1,1,-0.89,3,8,0.29,0.05,6,0,0.7,0.4,-0.4,4,CITY_A,0.24,0.25,0
0.55,JOB_A,2,4,-0.55,9,10,0.57,0.53,,10,0.2,0.4,-0.4,2,CITY_A,0.35,0.26,3
0.51,JOB_A,0,2,-0.51,10,2,1,0.48,10,10,0.9,0,0,1,CITY_A,0.01,0.09,0
0.16,JOB_A,1,5,-0.16,6,6,0.27,0.53,1,1,0.3,1,-1,6,CITY_A,0.03,0.03,2
0.01,JOB_B,1,3,-0.01,3,4,0.5,0.04,6,2,0.9,0.4,-0.4,10,CITY_A,0.71,0.81,0
0.79,JOB_A,1,1,-0.79,5,5,0.72,0.12,,6,1,0.8,-0.8,2,CITY_A,0.12,0.14,0
0.85,JOB_C,2,2,-0.85,9,3,0.87,0.04,,3,0.3,0.1,-0.1,4,CITY_A,0.93,0.33,2
0.6,JOB_C,0,4,-0.6,3,2,0.69,0.19,6,6,0.1,1,-1,8,CITY_A,0.4,0.08,1
0.87,JOB_D,1,5,-0.87,4,4,0.1,0.12,5,10,0.3,0.3,-0.3,1,CITY_A,0.8,0.97,2
0.06,JOB_A,0,1,-0.06,0,5,0.23,0.06,5,10,0.5,0.8,-0.8,3,CITY_A,0,0.38,0
0.11,JOB_A,1,4,-0.11,7,8,0.21,0.53,6,4,0.7,1,-1,7,CITY_A,0.23,0.78,0
0.02,JOB_A,2,2,-0.02,9,8,0.32,0.01,8,1,0.5,1,-1,9,CITY_A,0.08,0.55,1
0.08,JOB_D,1,1,-0.08,9,1,0,0.94,4,10,0.6,0,0,1,CITY_A,0.83,0.09,0
0.02,JOB_A,1,2,-0.02,8,8,0.22,0.35,4,3,0.9,0.5,-0.5,8,CITY_A,0.05,0.02,0
0.49,JOB_C,1,3,-0.49,5,7,0.32,0.05,3,10,0.9,0.1,-0.1,6,CITY_A,0.05,0.01,1
0.54,JOB_A,1,5,-0.54,10,3,0.93,0.37,2,0,0.5,0.9,-0.9,2,CITY_A,0.22,0.07,0
0.38,JOB_D,2,3,-0.38,7,2,0.17,0.02,1,6,0.8,0.5,-0.5,4,CITY_A,0.01,0.37,1
0.51,JOB_C,1,2,-0.51,0,9,0.06,0.06,4,0,0.2,0.5,-0.5,6,CITY_A,0.51,0.36,2
0.46,JOB_A,1,3,-0.46,2,0,0.92,0.92,2,0,0.4,0.9,-0.9,1,CITY_A,0.31,0.16,3
0,JOB_A,2,3,0,6,7,0.39,0,2,0,0.6,0.2,-0.2,0,CITY_A,0.92,0.51,1
0.16,JOB_B,0,4,-0.16,6,6,0.24,0.68,7,4,0.1,0.8,-0.8,8,CITY_A,0.57,0.58,1
0.59,JOB_C,1,1,-0.59,10,3,0.35,0.92,5,4,0.4,0.9,-0.9,4,CITY_A,0.74,0.93,3
0.84,JOB_D,2,1,-0.84,7,9,0.9,0.13,2,3,1,0.3,-0.3,8,CITY_A,0.52,0.14,1
0.81,JOB_D,2,3,-0.81,2,2,0.42,0.39,,4,0.7,0.1,-0.1,4,CITY_A,0.19,0,2
0.15,JOB_D,2,1,-0.15,1,10,0.5,0.48,10,10,0.7,0.1,-0.1,6,CITY_A,0.93,0.06,2
0.08,JOB_A,1,2,-0.08,10,5,0.07,0.12,9,10,0.1,0.4,-0.4,8,CITY_A,0.5,0.84,2
0.36,JOB_B,1,2,-0.36,3,6,0.56,0.74,6,0,0.2,0.1,-0.1,8,CITY_A,0.67,0.21,3
0.59,JOB_A,0,3,-0.59,5,3,0.28,0.23,,0,0.6,0.5,-0.5,1,CITY_A,0.39,0,0
0.57,JOB_A,1,2,-0.57,2,9,0.55,0.04,,3,0,0.9,-0.9,9,CITY_A,0.11,0.27,2
0.07,JOB_B,1,4,-0.07,4,9,0.56,0.09,0,8,0.3,0.5,-0.5,2,CITY_A,0.07,0.26,2
0.71,JOB_A,1,1,-0.71,4,9,0.23,0.13,8,10,0.2,0.2,-0.2,8,CITY_A,0.02,0,3
0.06,JOB_A,2,4,-0.06,2,7,0.22,0.3,3,7,0.3,0.8,-0.8,3,CITY_A,0.3,0.47,3
0.75,JOB_B,2,2,-0.75,4,9,0.51,0.24,7,5,0.6,0.6,-0.6,2,CITY_A,0.19,0.28,2
0.04,JOB_B,1,1,-0.04,1,3,0.36,0.15,0,2,0.1,0.6,-0.6,2,CITY_A,0.12,0.1,1
0.2,JOB_D,1,1,-0.2,4,10,0.83,0.5,4,9,0.9,0.7,-0.7,10,CITY_A,0.77,0.19,1
0.22,JOB_A,0,5,-0.22,0,7,0.31,0.7,2,1,0.3,0.3,-0.3,7,CITY_A,0.75,0.27,2
0.67,JOB_B,2,2,-0.67,6,9,0.12,0.32,5,7,0,0.1,-0.1,5,CITY_A,0.06,0.34,3
0.99,JOB_A,0,4,-0.99,8,5,0.54,0.08,6,2,0.5,0.4,-0.4,8,CITY_A,0.59,0.72,0
0.33,JOB_B,1,2,-0.33,6,3,0,0.18,2,8,0.8,0.1,-0.1,3,CITY_A,0.62,0.12,0
0,JOB_A,1,2,0,10,6,0.59,0.17,2,8,0.4,0.2,-0.2,10,CITY_A,0.08,0.06,2
0,JOB_A,0,2,0,8,10,0,0.24,2,9,0.5,0.4,-0.4,10,CITY_A,0.14,0.05,0
0.52,JOB_D,2,1,-0.52,6,5,0.44,0,8,9,0.5,0.8,-0.8,9,CITY_A,0.36,0,1
0.23,JOB_A,1,4,-0.23,8,10,0.59,0.88,9,9,0.4,0.5,-0.5,5,CITY_A,0,0.29,3
0,JOB_A,0,3,0,4,10,0.57,0.03,4,8,0.4,0.2,-0.2,2,CITY_A,0.15,0.17,1
0.39,JOB_A,1,1,-0.39,9,10,0.79,0.18,4,5,0.1,0.3,-0.3,9,CITY_A,0.29,0.05,2
0.37,JOB_A,1,5,-0.37,4,9,0.89,0.24,3,3,1,0.6,-0.6,0,CITY_A,0.08,0.05,1
0.02,JOB_D,2,5,-0.02,7,7,0.22,0.43,,10,0.9,0.1,-0.1,6,CITY_A,0.01,0.31,1
0.82,JOB_B,2,3,-0.82,10,6,0.5,0.19,2,9,0.9,0.4,-0.4,9,CITY_A,0.69,0.01,2
0.34,JOB_A,2,4,-0.34,2,5,0.86,0,6,3,1,0.3,-0.3,9,CITY_A,0.62,0.75,1
0.03,JOB_B,0,5,-0.03,3,7,0.43,0.21,8,0,0.7,0.7,-0.7,6,CITY_A,0.11,0.85,0
0.3,JOB_B,2,5,-0.3,4,3,0.02,0,3,8,0.1,0.5,-0.5,9,CITY_A,0.01,0.84,2
0.21,JOB_A,1,5,-0.21,3,0,0.12,0.93,2,8,0.3,0.9,-0.9,6,CITY_A,0.76,0,2
0.42,JOB_B,1,2,-0.42,5,5,0.2,0.25,,3,0.8,0.8,-0.8,7,CITY_A,0.06,0.78,0
0.93,JOB_D,0,4,-0.93,7,3,0.08,0.76,7,9,0.3,0.4,-0.4,3,CITY_A,0.01,0.36,3
0.46,JOB_A,1,3,-0.46,8,3,0.18,0.42,3,2,0.2,0.1,-0.1,9,CITY_A,0.03,0.46,2
0.65,JOB_C,1,1,-0.65,7,7,0.09,0.6,1,7,0.6,0.3,-0.3,6,CITY_A,0.67,0,2
0.03,JOB_A,0,3,-0.03,7,8,0.16,0.23,5,9,0.6,1,-1,4,CITY_A,0.29,0.76,0
0.34,JOB_D,0,2,-0.34,2,5,0.01,0.33,2,7,0.5,0.9,-0.9,6,CITY_A,0.32,0.11,0
0.06,JOB_A,1,3,-0.06,2,7,0.98,0.46,6,4,0.6,0.1,-0.1,5,CITY_A,0.57,0.74,0
0.88,JOB_B,0,4,-0.88,7,9,0.37,0.57,2,3,0.8,0.5,-0.5,10,CITY_A,0.33,0.11,2
0.77,JOB_C,2,4,-0.77,1,3,0.02,0.27,8,1,0.5,0.4,-0.4,3,CITY_A,0.04,0.69,1
0.39,JOB_A,1,2,-0.39,0,2,0.03,0.16,8,8,0.4,1,-1,9,CITY_A,0.3,0.24,2
0.98,JOB_A,2,2,-0.98,10,9,0.03,0.35,10,5,0.9,0.9,-0.9,6,CITY_A,0.75,0.53,3
0.47,JOB_C,1,3,-0.47,0,5,0.41,0.08,7,6,0.1,0.9,-0.9,0,CITY_A,0.12,0.01,2
0.04,JOB_A,0,3,-0.04,4,9,0.04,0.74,5,1,0.8,0.3,-0.3,7,CITY_A,0.75,0.34,0
0.22,JOB_A,1,5,-0.22,10,10,0.82,0.06,6,2,0.4,1,-1,3,CITY_A,0.27,0.86,2
0.11,JOB_D,0,3,-0.11,3,10,0.23,0,8,2,0.3,0.7,-0.7,4,CITY_A,0.06,0,1
0.34,JOB_B,0,4,-0.34,5,1,0.06,0.47,8,5,0.2,0.7,-0.7,8,CITY_A,0.54,0.36,1
0,JOB_A,2,4,0,8,6,0.06,0.02,4,0,0.6,0.4,-0.4,7,CITY_A,0.05,0.78,1
0.04,JOB_A,1,3,-0.04,7,5,0.75,0.19,6,2,0.7,0.2,-0.2,0,CITY_A,0.01,0.23,0
0.65,JOB_A,0,4,-0.65,4,9,0.11,0.09,4,3,0.4,0,0,5,CITY_A,0.1,0.71,1
0.27,JOB_A,0,2,-0.27,8,10,0.12,0.21,7,5,0.2,0.9,-0.9,2,CITY_A,0.13,0.01,1
0.17,JOB_C,1,2,-0.17,3,6,0.49,0.4,4,4,0.9,0.5,-0.5,5,CITY_A,0.97,0.21,0
0.39,JOB_A,1,1,-0.39,0,8,0.33,0.77,5,8,0.2,0,0,9,CITY_A,0.36,0.4,3
0.33,JOB_A,0,4,-0.33,0,6,0,0.32,1,6,0.2,0.6,-0.6,5,CITY_A,0.1,0.05,1
0,JOB_D,1,2,0,1000,9,0.77,0.2,4,7,0.3,0.4,-0.4,6,CITY_A,0.18,0,2
0.99,JOB_A,0,4,-0.99,9,10,0.93,0.14,5,6,0.5,0.2,-0.2,6,CITY_A,0.21,0.35,0
0.31,JOB_B,1,2,-0.31,2,5,0.06,0.36,2,1,0.3,0.5,-0.5,3,CITY_A,0.02,0.06,2
0.13,JOB_D,2,4,-0.13,6,1,0,0.36,4,3,0.5,1,-1,2,CITY_A,0,0.7,0
0.07,JOB_A,2,1,-0.07,5,3,0.08,0.13,4,4,1,0.5,-0.5,1,CITY_A,0.19,0.39,1
0.11,JOB_A,1,2,-0.11,4,4,0.25,0.45,9,6,0.7,0.4,-0.4,3,CITY_A,0.4,0.47,0
0.08,JOB_A,2,2,-0.08,0,1,0.11,0.02,1,5,0.8,0.9,-0.9,8,CITY_A,0.15,0.02,0
